Batch 180: 0.085 s, average cost 0.9, 23/100 correct (23.0%)
Batch 181: 0.089 s, average cost 0.906, 23/100 correct (23.0%)
Batch 182: 0.09 s, average cost 0.911, 23/100 correct (23.0%)
Batch 183: 0.087 s, average cost 0.855, 30/100 correct (30.0%)
Batch 184: 0.087 s, average cost 0.894, 24/100 correct (24.0%)
Batch 185: 0.083 s, average cost 0.857, 26/100 correct (26.0%)
Batch 186: 0.083 s, average cost 0.873, 27/100 correct (27.0%)
Batch 187: 0.083 s, average cost 0.885, 26/100 correct (26.0%)
Batch 188: 0.089 s, average cost 0.836, 28/100 correct (28.0%)
Batch 189: 0.088 s, average cost 0.945, 21/100 correct (21.0%)
Batch 190: 0.088 s, average cost 0.897, 24/100 correct (24.0%)
Batch 191: 0.087 s, average cost 0.941, 25/100 correct (25.0%)
Batch 192: 0.083 s, average cost 0.873, 29/100 correct (29.0%)
Batch 193: 0.083 s, average cost 0.918, 22/100 correct (22.0%)
Batch 194: 0.084 s, average cost 0.868, 27/100 correct (27.0%)
Batch 195: 0.083 s, average cost 0.928, 17/100 correct (17.0%)
Batch 196: 0.092 s, average cost 0.891, 23/100 correct (23.0%)
Batch 197: 0.094 s, average cost 0.848, 37/100 correct (37.0%)
Batch 198: 0.091 s, average cost 0.865, 27/100 correct (27.0%)
Batch 199: 0.089 s, average cost 0.88, 27/100 correct (27.0%)
Batch 200: 0.09 s, average cost 0.846, 26/100 correct (26.0%)
Batch 201: 0.09 s, average cost 0.874, 22/100 correct (22.0%)
Batch 202: 0.091 s, average cost 0.906, 27/100 correct (27.0%)
Batch 203: 0.087 s, average cost 0.855, 34/100 correct (34.0%)
Batch 204: 0.087 s, average cost 0.927, 19/100 correct (19.0%)
Batch 205: 0.089 s, average cost 0.816, 38/100 correct (38.0%)
Batch 206: 0.088 s, average cost 0.808, 35/100 correct (35.0%)
Batch 207: 0.088 s, average cost 0.853, 33/100 correct (33.0%)
Batch 208: 0.089 s, average cost 0.861, 31/100 correct (31.0%)
Batch 209: 0.087 s, average cost 0.874, 31/100 correct (31.0%)
Batch 210: 0.086 s, average cost 0.876, 27/100 correct (27.0%)
Batch 211: 0.09 s, average cost 0.892, 21/100 correct (21.0%)
Batch 212: 0.088 s, average cost 0.921, 21/100 correct (21.0%)
Batch 213: 0.087 s, average cost 0.889, 24/100 correct (24.0%)
Batch 214: 0.088 s, average cost 0.873, 27/100 correct (27.0%)
Batch 215: 0.088 s, average cost 0.876, 30/100 correct (30.0%)
Batch 216: 0.089 s, average cost 0.846, 28/100 correct (28.0%)
Batch 217: 0.086 s, average cost 0.876, 30/100 correct (30.0%)
Batch 218: 0.096 s, average cost 0.854, 30/100 correct (30.0%)
Batch 219: 0.101 s, average cost 0.872, 27/100 correct (27.0%)
Batch 220: 0.101 s, average cost 0.858, 25/100 correct (25.0%)
Batch 221: 0.099 s, average cost 0.884, 22/100 correct (22.0%)
Batch 222: 0.091 s, average cost 0.846, 26/100 correct (26.0%)
Batch 223: 0.087 s, average cost 0.88, 32/100 correct (32.0%)
Batch 224: 0.093 s, average cost 0.805, 33/100 correct (33.0%)
Batch 225: 0.09 s, average cost 0.87, 25/100 correct (25.0%)
Batch 226: 0.083 s, average cost 0.853, 29/100 correct (29.0%)
Batch 227: 0.083 s, average cost 0.883, 23/100 correct (23.0%)
Batch 228: 0.084 s, average cost 0.838, 28/100 correct (28.0%)
Batch 229: 0.085 s, average cost 0.88, 27/100 correct (27.0%)
Batch 230: 0.086 s, average cost 0.823, 29/100 correct (29.0%)
Batch 231: 0.085 s, average cost 0.842, 32/100 correct (32.0%)
Batch 232: 0.085 s, average cost 0.89, 21/100 correct (21.0%)
Batch 233: 0.083 s, average cost 0.808, 29/100 correct (29.0%)
Batch 234: 0.082 s, average cost 0.833, 30/100 correct (30.0%)
Batch 235: 0.083 s, average cost 0.876, 23/100 correct (23.0%)
Batch 236: 0.084 s, average cost 0.855, 26/100 correct (26.0%)
Batch 237: 0.082 s, average cost 0.865, 25/100 correct (25.0%)
Batch 238: 0.083 s, average cost 0.884, 24/100 correct (24.0%)
Batch 239: 0.083 s, average cost 0.862, 27/100 correct (27.0%)
Batch 240: 0.082 s, average cost 0.833, 31/100 correct (31.0%)
Batch 241: 0.083 s, average cost 0.87, 28/100 correct (28.0%)
Batch 242: 0.087 s, average cost 0.826, 32/100 correct (32.0%)
Batch 243: 0.083 s, average cost 0.883, 25/100 correct (25.0%)
Batch 244: 0.083 s, average cost 0.882, 24/100 correct (24.0%)
Batch 245: 0.089 s, average cost 0.876, 20/100 correct (20.0%)
Batch 246: 0.086 s, average cost 0.855, 24/100 correct (24.0%)
Batch 247: 0.086 s, average cost 0.801, 35/100 correct (35.0%)
Batch 248: 0.086 s, average cost 0.879, 23/100 correct (23.0%)
Batch 249: 0.085 s, average cost 0.889, 26/100 correct (26.0%)
Batch 250: 0.086 s, average cost 0.819, 34/100 correct (34.0%)
Batch 251: 0.087 s, average cost 0.847, 31/100 correct (31.0%)
Batch 252: 0.083 s, average cost 0.825, 29/100 correct (29.0%)
